,Data,location,Total de Mortes,Novas Mortes no Dia
13283,17/06/2021,Brazil,496004.0,2311.0
13284,18/06/2021,Brazil,498499.0,2495.0
13285,19/06/2021,Brazil,500800.0,2301.0
13286,20/06/2021,Brazil,501825.0,1025.0
13287,21/06/2021,Brazil,502586.0,761.0
13288,22/06/2021,Brazil,504717.0,2131.0
13289,23/06/2021,Brazil,507109.0,2392.0
13290,24/06/2021,Brazil,509141.0,2032.0
13291,25/06/2021,Brazil,511142.0,2001.0
13292,26/06/2021,Brazil,512735.0,1593.0
13293,27/06/2021,Brazil,513474.0,739.0
13294,28/06/2021,Brazil,514092.0,618.0
13295,29/06/2021,Brazil,515985.0,1893.0
13296,30/06/2021,Brazil,518066.0,2081.0
13297,01/07/2021,Brazil,520095.0,2029.0
13298,02/07/2021,Brazil,521952.0,1857.0
13299,03/07/2021,Brazil,523587.0,1635.0
13300,04/07/2021,Brazil,524417.0,830.0
13301,05/07/2021,Brazil,525112.0,695.0
13302,06/07/2021,Brazil,526892.0,1780.0
